,Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
16936,16,0.35,2,10000,2,0.75,10000-0,8.698167151381424,377,Bernoulli,VIM,9.81802227229432,1.119855120912895,1.254075491834835,0.1287461026470435
16937,17,0.35,2,10000,2,0.75,10000-0,8.698167151381424,377,Bernoulli,SNIPE(2),10.55028593191801,1.8521187805365853,3.4303439772163284,0.2129320750340416
16938,18,0.35,2,10000,2,0.75,10000-0,8.698167151381424,377,Bernoulli,Lin's,3.695459278265971,-5.002707873115453,25.02708606373134,-0.5751450605684133
16939,19,0.35,2,10000,2,0.75,10000-0,8.698167151381424,377,Bernoulli,DM,3.6431655437179553,-5.055001607663469,25.55304125348025,-0.5811571012245544
16940,20,0.35,2,10000,2,1.0,10000-0,8.698167151381424,377,Bernoulli,Reg,10.058579943154822,1.3604127917733972,1.8507229640206888,0.1564022360224865
16941,21,0.35,2,10000,2,1.0,10000-0,8.698167151381424,377,Bernoulli,VIM,9.797393391811736,1.099226240430312,1.208298327650558,0.1263744673216282
16942,22,0.35,2,10000,2,1.0,10000-0,8.698167151381424,377,Bernoulli,SNIPE(2),10.588539352547803,1.8903722011663788,3.5735070589426203,0.2173299464435049
16943,23,0.35,2,10000,2,1.0,10000-0,8.698167151381424,377,Bernoulli,Lin's,3.695459278265972,-5.002707873115453,25.02708606373134,-0.5751450605684133
16944,24,0.35,2,10000,2,1.0,10000-0,8.698167151381424,377,Bernoulli,DM,3.632911752464889,-5.065255398916536,25.656812256253115,-0.5823359462702533
16945,25,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,377,Bernoulli,Reg,10.058579943154822,1.3604127917733972,1.8507229640206888,0.1564022360224865
16946,26,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,377,Bernoulli,VIM,9.769888217836517,1.0717210664550905,1.1485860442836364,0.12321228688792
16947,27,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,377,Bernoulli,SNIPE(2),10.639543913387527,1.9413767620061044,3.7689437320573065,0.2231937749894561
16948,28,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,377,Bernoulli,Lin's,3.695459278265972,-5.002707873115453,25.02708606373134,-0.5751450605684133
16949,29,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,377,Bernoulli,DM,3.619240030794133,-5.078927120587292,25.79550069623712,-0.5839077396645185
16950,30,0.35,2,10000,2,2.0,10000-0,8.698167151381423,377,Bernoulli,Reg,10.058579943154829,1.3604127917734044,1.850722964020708,0.1564022360224874
16951,31,0.35,2,10000,2,2.0,10000-0,8.698167151381423,377,Bernoulli,VIM,9.714877869884154,1.0167107185027309,1.0337006851183392,0.1168879260202833
16952,32,0.35,2,10000,2,2.0,10000-0,8.698167151381423,377,Bernoulli,SNIPE(2),10.741553035066984,2.043385883685561,4.175425869645421,0.2349214320813592
16953,33,0.35,2,10000,2,2.0,10000-0,8.698167151381423,377,Bernoulli,Lin's,3.695459278265972,-5.002707873115451,25.02708606373132,-0.5751450605684133
16954,34,0.35,2,10000,2,2.0,10000-0,8.698167151381423,377,Bernoulli,DM,3.591896587452622,-5.106270563928801,26.073999072045755,-0.5870513264530488
16955,35,0.35,2,10000,2,4.0,10000-0,8.698167151381423,377,Bernoulli,Reg,10.058579943154824,1.3604127917734026,1.8507229640207032,0.1564022360224872
16956,36,0.35,2,10000,2,4.0,10000-0,8.698167151381423,377,Bernoulli,VIM,9.54984682602858,0.8516796746471567,0.7253582682070866,0.0979148434175462
