Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
19,0.35,2,8000,2,1,8000-0,7.995753307269692,4,Bernoulli,DM,3.508140774999311,-4.487612532270381,20.138666239790183,-0.5612494983043399
20,0.35,2,9000,2,1,9000-0,8.842411976238425,4,Bernoulli,Reg,9.475974383125768,0.6335624068873429,0.401401323420883,0.0716504058609652
21,0.35,2,9000,2,1,9000-0,8.842411976238425,4,Bernoulli,VIM,9.292852796224292,0.450440819985868,0.2028969323095411,0.0509409447553795
22,0.35,2,9000,2,1,9000-0,8.842411976238425,4,Bernoulli,SNIPE(2),9.847558614796046,1.0051466385576209,1.0103197650036846,0.1136733553309525
23,0.35,2,9000,2,1,9000-0,8.842411976238425,4,Bernoulli,Lin's,3.527391363862492,-5.315020612375934,28.249444109981045,-0.6010826714089554
24,0.35,2,9000,2,1,9000-0,8.842411976238425,4,Bernoulli,DM,3.3162505975144287,-5.526161378723996,30.5384595837007,-0.6249608583691927
25,0.35,2,10000,2,1,10000-0,8.698167151381424,4,Bernoulli,Reg,11.060476279186606,2.3623091278051813,5.580504415311676,0.2715870006510514
26,0.35,2,10000,2,1,10000-0,8.698167151381424,4,Bernoulli,VIM,10.590755302352608,1.892588150971184,3.581889909196525,0.2175847069885989
27,0.35,2,10000,2,1,10000-0,8.698167151381424,4,Bernoulli,SNIPE(2),10.522489417117134,1.8243222657357092,3.3281517292590723,0.2097364000927453
28,0.35,2,10000,2,1,10000-0,8.698167151381424,4,Bernoulli,Lin's,3.8170258684047247,-4.881141282976699,23.82554022437942,-0.5611689449082945
29,0.35,2,10000,2,1,10000-0,8.698167151381424,4,Bernoulli,DM,3.573036207024966,-5.125130944356458,26.266967196800124,-0.5892196430764722
0,0.35,2,5000,2,1,5000-0,8.537465563685846,5,Bernoulli,Reg,3.4679262070885337,-5.069539356597312,25.70022928808909,-0.5937990986646698
1,0.35,2,5000,2,1,5000-0,8.537465563685846,5,Bernoulli,VIM,2.499043982185924,-6.038421581499922,36.46253519592401,-0.707285029316473
2,0.35,2,5000,2,1,5000-0,8.537465563685846,5,Bernoulli,SNIPE(2),-1.5417297682913105,-10.079195331977155,101.59017854015008,-1.1805840101831937
3,0.35,2,5000,2,1,5000-0,8.537465563685846,5,Bernoulli,Lin's,3.999914897632572,-4.537550666053274,20.589366047000517,-0.531486848433541
4,0.35,2,5000,2,1,5000-0,8.537465563685846,5,Bernoulli,DM,3.9715628298172874,-4.565902733868559,20.84746777514838,-0.5348077482490413
5,0.35,2,6000,2,1,6000-0,8.692144171827673,5,Bernoulli,Reg,6.149641734798764,-2.542502437028909,6.464318642297941,-0.292505783011455
6,0.35,2,6000,2,1,6000-0,8.692144171827673,5,Bernoulli,VIM,7.129711129700138,-1.5624330421275348,2.441197011131903,-0.1797523155669202
7,0.35,2,6000,2,1,6000-0,8.692144171827673,5,Bernoulli,SNIPE(2),10.992540619126244,2.3003964472985725,5.291823814743895,0.2646523575568897
8,0.35,2,6000,2,1,6000-0,8.692144171827673,5,Bernoulli,Lin's,3.8154830606352,-4.876661111192473,23.78182359341701,-0.5610423636320188
9,0.35,2,6000,2,1,6000-0,8.692144171827673,5,Bernoulli,DM,4.086794613835874,-4.605349557991799,21.209244551295257,-0.5298289428882592
10,0.35,2,7000,2,1,7000-0,8.683440796519088,5,Bernoulli,Reg,6.5705044757445785,-2.112936320774509,4.464499895648121,-0.2433293863904176
11,0.35,2,7000,2,1,7000-0,8.683440796519088,5,Bernoulli,VIM,7.139111506450303,-1.5443292900687853,2.3849529561643585,-0.177847621266429
12,0.35,2,7000,2,1,7000-0,8.683440796519088,5,Bernoulli,SNIPE(2),4.924600146610223,-3.7588406499088647,14.128883031407296,-0.4328745641262002
13,0.35,2,7000,2,1,7000-0,8.683440796519088,5,Bernoulli,Lin's,3.548910069452528,-5.13453072706656,26.36340578719065,-0.5913014031401962
14,0.35,2,7000,2,1,7000-0,8.683440796519088,5,Bernoulli,DM,3.839263930397955,-4.844176866121133,23.46604951026316,-0.5578637523575917
15,0.35,2,8000,2,1,8000-0,7.995753307269692,5,Bernoulli,Reg,7.219131238046884,-0.7766220692228076,0.6031418384039154,-0.0971293184491706
16,0.35,2,8000,2,1,8000-0,7.995753307269692,5,Bernoulli,VIM,6.969549946189566,-1.0262033610801264,1.0530933382921484,-0.1283435495873926
17,0.35,2,8000,2,1,8000-0,7.995753307269692,5,Bernoulli,SNIPE(2),9.994661096838524,1.998907789568832,3.9956323511989527,0.2499961808165637
18,0.35,2,8000,2,1,8000-0,7.995753307269692,5,Bernoulli,Lin's,3.463406413339172,-4.53234689393052,20.54216836692164,-0.5668442634178992
19,0.35,2,8000,2,1,8000-0,7.995753307269692,5,Bernoulli,DM,3.7021343422230832,-4.293618965046608,18.435163817007908,-0.5369874232041245
